G,3
MP,240.0
FG,38.3
FGA,84.7
FG%,0.45299999999999996
3P,10.3
3PA,32.0
3P%,0.32299999999999995
2P,28.0
2PA,52.7
2P%,0.532
FT,18.3
FTA,24.7
FT%,0.743
ORB,10.0
DRB,34.3
TRB,44.3
AST,22.0
STL,9.7
BLK,6.3
TOV,17.3
PF,21.0
PTS,105.3
TEAM,PHI
SEASON,2020-21
